title,category,integration_status,soroban,github_url,total_awarded_usd
Anclap,Financial Protocols,Mainnet,True,"https://github.com/anclap, https://github.com/anclap",572162.0
Beans app,Applications,Mainnet,True,https://github.com/Beans-BV,490160.0
Reflector,Infrastructure & Services,Mainnet,True,https://github.com/reflector-network/,444840.0
AnChain.AI,Developer Tooling,Mainnet,True,https://github.com/AnChainAI,435000.0
Phoenix,Financial Protocols,Mainnet,True,https://github.com/phoenix-Protocol-Group/,394500.0
Aquarius,Financial Protocols,Mainnet,True,https://github.com/AquaToken,391000.0
Litemint,Applications,Mainnet,True,https://github.com/litemint,376834.53
Soroswap.Finance,Financial Protocols,Mainnet,True,https://github.com/soroswap,346750.0
Slender,Financial Protocols,Mainnet,True,https://github.com/eq-lab/slender,296750.0
OrbitCDP,Financial Protocols,Mainnet,True,https://github.com/zenith-protocols/orbit-contracts,280000.0
LINK IO,Applications,Mainnet,True,https://github.com/linkioafrica,277000.0
Skyhitz,Applications,Mainnet,True,https://github.com/skyhitz/skyhitz,255000.0
zkCrossDEX,Financial Protocols,Mainnet,True,https://github.com/Dev-zkCross/SorobanContract_Stellar_zkCrossDex,250000.0
Stellarchain.io,Infrastructure & Services,Mainnet,True,https://github.com/stellarchain/stellarchain-v3,240635.0
Scout,Developer Tooling,Mainnet,True,https://github.com/CoinFabrik/scout-audit,240000.0
Excellar,Financial Protocols,Mainnet,True,https://github.com/excellar-labs/excellar-contracts,238750.0
Lobstr,Applications,Mainnet,True,https://github.com/lobstrco,232000.0
Stellar PHP SDK,Developer Tooling,Mainnet,True,https://github.com/Soneso/stellar-php-sdk,225000.0
FxDAO,Financial Protocols,Mainnet,True,https://github.com/orgs/FxDAO/repositories,224800.0
CommuniDAO,Developer Tooling,Mainnet,True,https://github.com/communidao,219200.0
Normal,Financial Protocols,Mainnet,True,https://github.com/normalfinance/normal-stellar-amm,200000.0
Untangled,Financial Protocols,Mainnet,True,https://github.com/untangledfinance/soroban-vault-contract,200000.0
Smart Deploy,Developer Tooling,Mainnet,True,https://github.com/TENK-DAO/smartdeploy/commits/main/,194800.0
BondHive:OnChain Fixed Deposit,Financial Protocols,Mainnet,True,https://github.com/Bond-Hive/soroban_contracts,190000.0
Perun State Channels,Applications,Mainnet,True,https://github.com/perun-network/perun-soroban-contract,174800.0
Mercury,Infrastructure & Services,Mainnet,True,https://github.com/xycloo,172000.0
SorobanPulse,Infrastructure & Services,Mainnet,True,https://github.com/CrossChainLabs-Stellar/sorobanpulse-webapp,168500.0
zkFetch: zkTLS-Powered Oracle Solution,Infrastructure & Services,Mainnet,True,https://github.com/reclaimprotocol/stellar-sdk-onchain-integration,166000.0
Dogstar,Applications,Mainnet,True,https://github.com/dogstarapps,165407.5
AssemblyScript Soroban SDK,Developer Tooling,Mainnet,True,https://github.com/Soneso/as-soroban-sdk,158460.0
PHP Anchor SDK,Developer Tooling,Mainnet,False,https://github.com/argo-Navis-Dev/php-anchor-sdk,152600.0
EquitX,Financial Protocols,Mainnet,True,https://github.com/EquitXCompany/equitx-project/commits/main/,150300.0
Wombat Exchange,Financial Protocols,Mainnet,True,https://github.com/wombat-exchange,150004.63
Paychant,Applications,Mainnet,False,https://github.com/paychant,150000.0
Stellarcarbon,Applications,Mainnet,True,https://github.com/stellarcarbon/,150000.0
Wellspring,Applications,Mainnet,False,https://github.com/trustek-io/rampmedaddy-frontend/,150000.0
Cobo Custody Integration for Institution,Applications,Mainnet,False,https://github.com/CoboGlobal,150000.0
OneKey,Applications,Development,True,https://github.com/onekeyhq,150000.0
BPV StellarMesh Anchor,Infrastructure & Services,Mainnet,True,https://github.com/bp-ventures/django-polaris-bpv  https://github.com/bp-ventures/retail-wallet  https://github.com/bp-ventures/stcli,150000.0
StreamingFast (core dev team at The Graph),Infrastructure & Services,Mainnet,False,https://github.com/streamingfast/firehose-stellar,150000.0
Public Node,Infrastructure & Services,Mainnet,True,https://github.com/publicnode,150000.0
Gateway.fm,Infrastructure & Services,Mainnet,True,https://github.com/gateway-fm,150000.0
InfStones,Infrastructure & Services,Mainnet,True,https://gitlab.com/infstones-com,150000.0
Volta Circuit,Infrastructure & Services,Mainnet,True,https://github.com/VoltaHQ,150000.0
Range: Cross-chain intelligence platform,Infrastructure & Services,Mainnet,True,https://github.com/rangesecurity,150000.0
human.tech,Infrastructure & Services,Mainnet,True,https://github.com/holosoe/Human-Wallet-On-Stellar/tree/stellar,150000.0
Post-Quantum Secure Wallets for Stellar,Infrastructure & Services,Development,False,https://github.com/SoundnessLabs,150000.0
Digicus,Developer Tooling,Mainnet,True,https://github.com/spaced-out-thoughts-dev-foundation,150000.0
Komet: Formal Verification,Developer Tooling,Mainnet,True,https://github.com/runtimeverification/komet,150000.0
Decentrio,Developer Tooling,Mainnet,True,https://github.com/decentrio/sorobook,150000.0
Stellar Razor and Blazor Suite,Developer Tooling,Mainnet,False,https://github.com/lockb0x-llc/Pakana-Stellar-Razor-Components,150000.0
Onboard Game Devs with Beamable,Developer Tooling,Mainnet,True,https://github.com/beamable/Stellar-Project,150000.0
Confidential Transfers and Balances,Developer Tooling,Development,False,https://github.com/Fairblock,150000.0
Pelago (Airswift),Financial Protocols,Mainnet,True,https://github.com/Airswiftio/SCF,150000.0
DeFindex: DeFi Made Easy,Financial Protocols,Mainnet,True,https://github.com/paltalabs/defindex,150000.0
Hoops Finance,Financial Protocols,Mainnet,True,https://github.com/Hoops-Finance/dashboard-ui,150000.0
