repo_full_name,ecosystem,monthly_downloads,github_stars,github_forks
CoinFabrik/scout-audit,GITHUB,0,44,12
Soneso/as-soroban-sdk,GITHUB,0,19,2
decentrio/sorobook,GITHUB,0,4,0
tupui/soroban-versioning,GITHUB,0,27,43
withObsrvr/flowctl,GITHUB,0,0,0
bp-ventures/lightecho-stellar-oracle,GITHUB,0,6,2
Baseflow/stellar-rust-sdk,GITHUB,0,9,1
BlaineHeffron/soroban-sdk-tools,GITHUB,0,0,0
rahul-soshte/rs-soroban-client,GITHUB,0,9,4
chatch/stellarexplorer,GITHUB,0,505,1164
StellarCN/py-stellar-base,GITHUB,0,369,179
calimero-network/core,GITHUB,0,160,35
