repo_full_name,contributor_login,commits_90d,commit_share_pct
orbit-cdp/hermes,Moon-Launch,1,100.0
streamingfast/substreams,maoueh,31,15.27
streamingfast/substreams,billettc,55,27.09
streamingfast/substreams,sduchesneau,71,34.98
streamingfast/substreams,maoueh,27,13.3
streamingfast/substreams,slightsharp,1,0.49
streamingfast/substreams,Copilot,4,1.97
streamingfast/substreams,codegen-sh[bot],5,2.46
streamingfast/substreams,stringscut,1,0.49
streamingfast/substreams,findfluctuate,1,0.49
streamingfast/substreams,rifeplight,1,0.49
streamingfast/substreams,UlysseCorbeil,6,2.96
Inferara/inference-language-spec,ProHaller,1,33.33
Inferara/inference-language-spec,0xGeorgii,2,66.67
vannafinance/Protocol_V1_Soroban,vineelaCharming90,4,57.14
vannafinance/Protocol_V1_Soroban,R0hit-Yadav,3,42.86
hurley87/refraction,breath-imager,135,45.76
hurley87/refraction,hurley87,159,53.9
hurley87/refraction,vercel[bot],1,0.34
lumenlater/lumen-later,sangwon0001,88,98.88
lumenlater/lumen-later,vercel[bot],1,1.12
YieldBack-Cash/yieldback,KBenster,7,29.17
YieldBack-Cash/yieldback,ben-pekurovski,17,70.83
Rendbit/crossborderpayment,muhammedmuhammedsani,13,34.21
Rendbit/crossborderpayment,Franklin-raph,22,57.89
Rendbit/crossborderpayment,muhammedmuhammedsani,2,5.26
Rendbit/crossborderpayment,guudc,1,2.63
quinn-eschenbach/stellars-finance,quinn-eschenbach,30,100.0
laina-defi/laina,Teolhyn,1,25.0
laina-defi/laina,Teolhyn,2,50.0
laina-defi/laina,kovipu,1,25.0
melomar10/stellar_integration,OdalisAbreu,22,100.0
EquitXCompany/equitx-project,zachfedor,3,20.0
EquitXCompany/equitx-project,pselle,10,66.67
EquitXCompany/equitx-project,dependabot[bot],2,13.33
runtimeverification/komet,bbyalcinkaya,2,66.67
runtimeverification/komet,ehildenb,1,33.33
tupui/soroban-versioning,Shadow-MMN,3,13.64
tupui/soroban-versioning,respp,1,4.55
tupui/soroban-versioning,dependabot[bot],7,31.82
tupui/soroban-versioning,icedoutskay,1,4.55
tupui/soroban-versioning,akintewe,1,4.55
tupui/soroban-versioning,FabianSanchezD,2,9.09
tupui/soroban-versioning,Oluwaseyi89,1,4.55
tupui/soroban-versioning,tupui,2,9.09
tupui/soroban-versioning,masch,2,9.09
tupui/soroban-versioning,ethsdev,1,4.55
tupui/soroban-versioning,Jayrodri088,1,4.55
subquery/subql,github-actions[bot],5,31.25
subquery/subql,ianhe8x,2,12.5
subquery/subql,ianhe8x,1,6.25
subquery/subql,stwiname,3,18.75
subquery/subql,dependabot[bot],5,31.25
abroad-finance/abroad,zetifintech[bot],5,1.99
abroad-finance/abroad,abroad-kinto,1,0.4
abroad-finance/abroad,hollwann,232,92.43
abroad-finance/abroad,abroad-finance-bot,11,4.38
abroad-finance/abroad,abroad-bot,1,0.4
abroad-finance/abroad,QuinteroEsteban,1,0.4
CodelnGhana/codelnpay-project,Philisiah,4,100.0
expand-network/sdk-nodejs.git,Parmanand0712,1,100.0
perun-network/perun-stellar-backend,NhoxxKienn,2,50.0
perun-network/perun-stellar-backend,NhoxxKienn,2,50.0
hyperledger-labs/go-perun,NhoxxKienn,8,88.89
hyperledger-labs/go-perun,NhoxxKienn,1,11.11
daccred/attest.so,raybaann,68,85.0
daccred/attest.so,koolamusic,4,5.0
daccred/attest.so,koolamusic,5,6.25
daccred/attest.so,claude,3,3.75
devasignhq/devasign-api,LennyMalcolm0,188,100.0
kindfi-org/kindfi,delfinacorr,4,9.09
kindfi-org/kindfi,KaruG1999,2,4.55
kindfi-org/kindfi,od-hunter,1,2.27
kindfi-org/kindfi,Bosun-Josh121,1,2.27
kindfi-org/kindfi,AlonsoFi,2,4.55
kindfi-org/kindfi,ryzen-xp,1,2.27
kindfi-org/kindfi,Bran18,6,13.64
kindfi-org/kindfi,Bran18,20,45.45
kindfi-org/kindfi,aguilar1x,5,11.36
kindfi-org/kindfi,AndlerRL,1,2.27
kindfi-org/kindfi,vercel[bot],1,2.27
Soneso/stellar-swift-wallet-sdk,christian-rogobete,3,100.0
SpinachFi/spinach,jennyg0,14,100.0
BlaineHeffron/soroban-sdk-tools,BlaineHeffron,72,72.0
BlaineHeffron/soroban-sdk-tools,github-actions[bot],2,2.0
BlaineHeffron/soroban-sdk-tools,willemneal,26,26.0
usepaykit/stellar-tools,devodii,351,65.12
usepaykit/stellar-tools,princeajuzie7,148,27.46
usepaykit/stellar-tools,silas-inegbe,18,3.34
usepaykit/stellar-tools,Lemon-stack,18,3.34
