from_repo,to_package,ecosystem,is_direct
soroban-token-sdk,soroban-sdk,CARGO,True
soroban-cli,soroban-sdk,CARGO,True
soroban-token-spec,soroban-sdk,CARGO,True
solang,soroban-sdk,CARGO,True
rust_to_dtr,soroban-sdk,CARGO,True
gz-srv,soroban-sdk,CARGO,True
aplk-gw,soroban-sdk,CARGO,True
stellar-asset-spec,soroban-sdk,CARGO,True
soroban-math,soroban-sdk,CARGO,True
loam-soroban-sdk,soroban-sdk,CARGO,True
loam-sdk,soroban-sdk,CARGO,True
zephyr-sdk,soroban-sdk,CARGO,True
soroswap-library,soroban-sdk,CARGO,True
soroban-fixed-point-math,soroban-sdk,CARGO,True
soroban-macros,soroban-sdk,CARGO,True
soroban-tools,soroban-sdk,CARGO,True
sep-40-oracle,soroban-sdk,CARGO,True
dummy-contract,soroban-sdk,CARGO,True
sep-41-token,soroban-sdk,CARGO,True
srb-trfc,soroban-sdk,CARGO,True
raumfi_library,soroban-sdk,CARGO,True
rs-zephyr-common,soroban-sdk,CARGO,True
test-aplk-oprs,soroban-sdk,CARGO,True
srb-std,soroban-sdk,CARGO,True
blend-contract-sdk,soroban-sdk,CARGO,True
stellar-axelar-std,soroban-sdk,CARGO,True
hello-soroban-kit,soroban-sdk,CARGO,True
soroban-rpc,soroban-sdk,CARGO,True
ledger-meta-factory,soroban-sdk,CARGO,True
aplk-oprs,soroban-sdk,CARGO,True
soroban-decimal,soroban-sdk,CARGO,True
oracle-soroban-kit,soroban-sdk,CARGO,True
litemint-auction-contract,soroban-sdk,CARGO,True
stellar-access,soroban-sdk,CARGO,True
hvym-file-token,soroban-sdk,CARGO,True
stellar-contract-utils,soroban-sdk,CARGO,True
soroban-snooker,soroban-sdk,CARGO,True
rs-edunode-sdk,soroban-sdk,CARGO,True
hvym-node-token,soroban-sdk,CARGO,True
stellar-tokens,soroban-sdk,CARGO,True
loam-soroban-cli,soroban-sdk,CARGO,True
dummy-increment-contract,soroban-sdk,CARGO,True
litemint-royalty-contract,soroban-sdk,CARGO,True
rs-zephyr-sdk,soroban-sdk,CARGO,True
defindex-strategy-core,soroban-sdk,CARGO,True
normal-rust-types,soroban-sdk,CARGO,True
retroshade-sdk,soroban-sdk,CARGO,True
soroban-cli-hcnet-test2,soroban-sdk,CARGO,True
soroban-cli-hcnet-test3,soroban-sdk,CARGO,True
blend-interfaces,soroban-sdk,CARGO,True
soroban-contracts,soroban-sdk,CARGO,True
soroban-cli-stellar-test,soroban-sdk,CARGO,True
srb-std-drv,soroban-sdk,CARGO,True
cvlr-soroban,soroban-sdk,CARGO,True
contrato_biblia,soroban-sdk,CARGO,True
soroban-poseidon,soroban-sdk,CARGO,True
vialabs-stellar-common,soroban-sdk,CARGO,True
stellar-accounts,soroban-sdk,CARGO,True
soroban-render-sdk,soroban-sdk,CARGO,True
soroban-sdk-tools,soroban-sdk,CARGO,True
soroban-chonk,soroban-sdk,CARGO,True
prices-helper,soroban-sdk,CARGO,True
stellar-governance,soroban-sdk,CARGO,True
sentinel-contract-sdk-miraculous65,soroban-sdk,CARGO,True
stellar-fee-abstraction,soroban-sdk,CARGO,True
soroban-spec,stellar-xdr,CARGO,True
soroban-sdk-macros,stellar-xdr,CARGO,True
soroban-sdk,stellar-xdr,CARGO,True
soroban-env-macros,stellar-xdr,CARGO,True
soroban-env-host,stellar-xdr,CARGO,True
soroban-env-common,stellar-xdr,CARGO,True
soroban-spec-rust,stellar-xdr,CARGO,True
stellar-rpc-client,stellar-xdr,CARGO,True
soroban-cli,stellar-xdr,CARGO,True
soroban-spec-typescript,stellar-xdr,CARGO,True
soroban-spec-tools,stellar-xdr,CARGO,True
soroban-spec-json,stellar-xdr,CARGO,True
